Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2023-06-01,120.86148834228516,121.16870345557189,118.96225513430613,119.57671377252419,4136100
2023-06-02,123.28204345703125,123.93373546266685,121.1686861904941,121.38282472549031,5373900
2023-06-05,123.48688507080078,124.36202058031787,123.14242227885919,123.9337576395119,3993500
2023-06-06,123.5334243774414,123.76617255383849,122.7793225588463,123.29135718226281,3298000
2023-06-07,125.10680389404297,125.16266118325542,123.06792760286098,123.35653306767281,5772000
2023-06-08,125.13473510742188,126.59638629316379,124.76232949532533,125.39541193297866,4128500
2023-06-09,125.96332550048828,126.7081225628461,124.91129911718953,125.08819001765453,3981500
2023-06-12,127.00602722167969,127.19222292754125,126.44744010409498,126.61501197762387,4494500
2023-06-13,128.10459899902344,128.63525744186947,126.61500502231488,127.089806177053,3927300
2023-06-14,127.7322006225586,129.34281407927426,127.49014762513427,128.29080194685696,4514900
2023-06-15,128.849365234375,129.2217707836373,127.71355316930847,127.79735329652947,3812600
2023-06-16,127.99285888671875,129.84553927794545,127.98355407479812,129.62209593947267,7473100
2023-06-20,126.57778930664062,127.76013995283186,126.51261299083232,126.95018075010161,4271300
2023-06-21,124.46441650390625,126.04710125487797,124.09201089991092,125.78642443499186,5501300
2023-06-22,122.11833190917969,123.78481708612917,121.66214029305678,122.5931331543351,6012800
2023-06-23,120.49837493896484,121.60625849360625,120.26562677053836,121.40143896892528,11324700
2023-06-26,122.2765884399414,122.34176475340234,120.3866742310885,120.46115535826281,4845600
2023-06-27,123.20758819580078,123.77549439256002,121.80179413108615,122.23936189936737,3219900
2023-06-28,122.66761016845703,123.04932063816007,121.87627478643965,122.94691085862567,2753800
2023-06-29,124.80887603759766,125.07887186925637,122.60242793840622,122.65828522610917,3639800
2023-06-30,124.57614135742188,125.71195368310396,124.22235955590116,125.39541954796564,4236400
2023-07-03,124.44579315185547,125.07887557817675,123.70099614681567,124.21304497564435,1477100
2023-07-05,124.97648620605469,125.04164831899986,123.44033946890042,124.11997448253092,2955100
2023-07-06,123.04000091552734,124.65991915174247,122.47209478979796,124.04547475480992,3507700
2023-07-07,122.96552276611328,124.61338389303704,122.65829345730907,122.68622210303474,2982400
2023-07-10,123.72892761230469,123.86858504470808,122.61173918218564,122.66759647281835,2369200
2023-07-11,125.16266632080078,125.27438090381122,124.03615885409872,124.43649311958922,2925200
2023-07-12,123.6730728149414,125.99124986368501,123.4217150020268,125.74919686412291,3732200
2023-07-13,124.67854309082031,125.74919324002146,124.15718944166774,124.29683266704022,3221400
2023-07-14,124.19441986083984,124.67854003998737,123.76617117629567,124.66923522713073,2860700
2023-07-17,124.97648620605469,125.3209490171937,123.91515491757703,124.06410297823327,3167400
2023-07-18,126.0191879272461,126.56847027835256,125.02301879702861,125.4140482802065,3852100
2023-07-19,126.1308822631836,127.0339462846034,125.86090064092336,126.17743473759279,5520000
2023-07-20,128.8307647705078,130.63689274683412,127.13635136399296,127.7228812671435,10896300
2023-07-21,129.3521270751953,130.134157528141,128.2535483101154,128.67250638674165,5858600
2023-07-24,129.91070556640625,130.45068299744722,129.20315628046643,129.73382889928644,3475200
2023-07-25,130.6461944580078,130.7392851953677,129.44520603776067,129.7989877748598,3770800
2023-07-26,131.33514404296875,131.50271590639173,130.22726048204728,130.7486141093466,4046400
2023-07-27,133.10401916503906,133.48572955766122,132.10785021929158,132.48025579958892,6331600
2023-07-28,133.5509033203125,134.01639968197676,132.99231620980834,133.541598507175,6686400
2023-07-31,134.23052978515625,134.6215592468406,133.62539017137908,133.88606700862053,6138100
2023-08-01,133.43919372558594,134.50982971509146,132.3592387167731,134.29570535835478,4797700
2023-08-02,134.22122192382812,134.3422555261641,132.48957485528965,132.9271425805423,4957400
2023-08-03,134.48191833496094,135.19878682837992,133.4205870226762,133.85815481163624,3951900
2023-08-04,134.28640747070312,136.00873563855527,134.0536592691699,135.07774283242236,4223100
2023-08-07,136.09249877929688,136.39042324613686,134.92875796661653,134.99393427092045,3438700
2023-08-08,135.84115600585938,136.06458517486354,134.1653662092181,135.64564127715872,4654600
2023-08-09,134.1837615966797,136.49093960034182,134.00483506627356,136.49093960034182,4072900
2023-08-10,134.89942932128906,136.15190044174665,134.37207608515914,134.70166467309136,4735800
2023-08-11,134.77703857421875,135.08780346403867,133.92009652334758,134.77703857421875,2526000
2023-08-14,133.63755798339844,135.0124412734999,133.53396970516073,134.71110269908968,4226400
2023-08-15,133.59988403320312,134.0142371534499,132.96894246166352,133.25145725904082,3656600
2023-08-16,132.4415740966797,133.8070453644129,132.36623586800022,133.43978048041157,3285300
2023-08-17,132.46044921875,134.34386235354478,132.40394912379446,132.79003789575796,3742100
2023-08-18,133.16668701171875,133.56220192057256,131.61286304554594,131.83887772316126,3914700
2023-08-21,133.98597717285156,134.08956544523008,132.88418247717016,133.17610914406458,2937800
2023-08-22,133.2420654296875,134.88062563644934,133.06313888543153,134.34386037298304,3557500
2023-08-23,135.0501251220703,135.11603710137757,133.32680059835124,133.45863892626582,2559100
2023-08-24,135.1819610595703,136.0483292518747,134.87119621298834,135.14428475551807,2900200
